Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1999,3,10,3,1131,1135,1238,1251,NW,833,N985US,67,76,57,-13,-4,GPT,MEM,324,5,5,0,NA,0,NA,NA,NA,NA,NA
1999,7,29,4,810,805,916,913,US,386,N601AU,66,68,46,3,5,CLT,JAX,329,3,17,0,NA,0,NA,NA,NA,NA,NA
1999,8,15,7,2141,2144,2314,2319,UA,1245,N945UA,153,155,137,-5,-3,DEN,PDX,992,3,13,0,NA,0,NA,NA,NA,NA,NA
1999,11,18,4,1540,1535,1744,1746,HP,2884,N635AW,64,71,43,-2,5,LAS,PHX,256,5,16,0,NA,0,NA,NA,NA,NA,NA
1999,5,10,1,1940,1930,2104,2050,WN,810,N399,84,80,55,14,10,PHX,LAX,370,18,11,0,NA,0,NA,NA,NA,NA,NA
1999,5,15,6,1635,1630,1849,1847,DL,496,N123DN,134,137,107,2,5,ATL,LGA,761,12,15,0,NA,0,NA,NA,NA,NA,NA
1999,7,27,2,808,810,1022,1028,UA,1781,N978UA,134,138,112,-6,-2,ORD,DFW,802,8,14,0,NA,0,NA,NA,NA,NA,NA
1999,5,11,2,1016,1020,1314,1311,AA,789,N501AA,238,231,188,3,-4,LGA,DFW,1389,11,39,0,NA,0,NA,NA,NA,NA,NA
1999,5,24,1,619,615,953,915,US,311,N237US,154,120,99,38,4,ORD,PHL,678,37,18,0,NA,0,NA,NA,NA,NA,NA
1999,12,12,7,2021,2020,2211,2225,NW,454,N1799U,110,125,93,-14,1,MEM,MSP,700,4,13,0,NA,0,NA,NA,NA,NA,NA
1999,6,30,3,740,740,1015,1009,DL,370,N508DA,95,89,77,6,0,BHM,CVG,396,6,12,0,NA,0,NA,NA,NA,NA,NA
1999,3,15,1,1738,0,1845,0,UA,422,N995UA,127,138,116,17,28,ORF,ORD,717,4,7,0,NA,0,NA,NA,NA,NA,NA
1999,10,23,6,1648,1555,1803,1714,AS,456,N760AS,75,79,65,49,53,OAK,SNA,371,3,7,0,NA,0,NA,NA,NA,NA,NA
1999,4,19,1,859,900,1024,1035,NW,831,N8912E,85,95,66,-11,-1,MEM,DFW,432,4,15,0,NA,0,NA,NA,NA,NA,NA
1999,9,17,5,936,931,1106,1101,UA,2021,N924UA,90,90,65,5,5,SFO,LAX,337,8,17,0,NA,0,NA,NA,NA,NA,NA
1999,1,16,6,2028,2030,2125,2133,DL,1635,N962DL,57,63,45,-8,-2,CVG,GRR,268,4,8,0,NA,0,NA,NA,NA,NA,NA
1999,5,21,5,1146,1150,1432,1431,US,1830,N919VJ,106,101,84,1,-4,IND,PHL,587,7,15,0,NA,0,NA,NA,NA,NA,NA
1999,8,5,4,2129,2130,2308,2308,DL,254,N936DL,99,98,76,0,-1,ATL,DCA,547,4,19,0,NA,0,NA,NA,NA,NA,NA
1999,10,22,5,1016,1019,1125,1130,NW,1119,N780NC,69,71,47,-5,-3,BUF,DTW,240,9,13,0,NA,0,NA,NA,NA,NA,NA
1999,10,17,7,2111,2112,2228,2230,HP,2399,N160AW,77,78,66,-2,-1,OAK,LAS,407,3,8,0,NA,0,NA,NA,NA,NA,NA
1999,9,18,6,1928,1930,2048,2059,US,866,N997VJ,80,89,55,-11,-2,BOS,PHL,280,7,18,0,NA,0,NA,NA,NA,NA,NA
1999,10,2,6,2022,2030,2236,2250,DL,582,N665DN,74,80,56,-14,-8,MSY,ATL,425,9,9,0,NA,0,NA,NA,NA,NA,NA
1999,7,28,3,1943,1750,2147,1953,US,115,N101UW,304,303,283,114,113,PIT,SEA,2125,4,17,0,NA,0,NA,NA,NA,NA,NA
1999,7,30,5,625,545,744,710,CO,1878,N54711,79,85,62,34,40,TUL,IAH,429,8,9,0,NA,0,NA,NA,NA,NA,NA
1999,7,31,6,902,900,1057,1059,NW,493,N611NA,115,119,87,-2,2,DTW,ATL,594,14,14,0,NA,0,NA,NA,NA,NA,NA
1999,7,30,5,1145,1145,1243,1235,WN,319,N314,58,50,44,8,0,TPA,FLL,197,4,10,0,NA,0,NA,NA,NA,NA,NA
1999,9,16,4,734,730,848,840,WN,449,N357,74,70,59,8,4,OAK,ONT,361,2,13,0,NA,0,NA,NA,NA,NA,NA
1999,9,27,1,1902,1905,2159,2209,NW,990,N333NW,177,184,158,-10,-3,MIA,DTW,1145,8,11,0,NA,0,NA,NA,NA,NA,NA
1999,1,21,4,1910,1910,2058,2101,US,2652,N288AU,108,111,95,-3,0,JAX,BWI,663,4,9,0,NA,0,NA,NA,NA,NA,NA
1999,6,28,1,2010,2010,2103,2110,WN,557,N704,53,60,45,-7,0,BUR,SJC,296,3,5,0,NA,0,NA,NA,NA,NA,NA
1999,5,27,4,946,905,1122,1058,AA,1839,N492AA,96,113,77,24,41,ORD,TUL,585,7,12,0,NA,0,NA,NA,NA,NA,NA
1999,12,21,2,2000,2000,2129,2135,HP,2813,N330AW,149,155,133,-6,0,DFW,PHX,868,4,12,0,NA,0,NA,NA,NA,NA,NA
1999,9,20,1,1145,1150,1425,1434,TW,396,N931TW,160,164,146,-9,-5,PBI,LGA,1035,4,10,0,NA,0,NA,NA,NA,NA,NA
1999,4,13,2,555,600,652,655,DL,352,N2814W,57,55,38,-3,-5,AUS,DFW,190,8,11,0,NA,0,NA,NA,NA,NA,NA
1999,8,16,1,951,945,1110,1106,CO,1293,N34315,139,141,96,4,6,EWR,MDW,711,4,39,0,NA,0,NA,NA,NA,NA,NA
1999,10,26,2,1416,1417,1513,1513,AA,711,N2BDAA,117,116,87,0,-1,DFW,COS,592,6,24,0,NA,0,NA,NA,NA,NA,NA
1999,6,7,1,NA,1700,NA,2017,CO,1407,UNKNOW,NA,137,NA,NA,NA,ORD,EWR,719,0,0,1,NA,0,NA,NA,NA,NA,NA
